year,geog,fips,statecd,theme_id,indic_id,avg_response_time_fires
2007,Alexandria,51510,51,6,605,4
2008,Alexandria,51510,51,6,605,4.9
2009,Alexandria,51510,51,6,605,5.8
2010,Alexandria,51510,51,6,605,5.5
2011,Alexandria,51510,51,6,605,6
